"","np_id","formula","mw","alogp","mlogp","xlogp","hba","hbd","psa","rotatable_bond","rings","heavy_atom","lipinski_failure"
"1392","NPC142415","C30H48O3",456.36,2.1298,4.43,9.052,3,2,57.53,10,5,33,1
"1393","NPC31187","C30H48O3",456.36,2.3357,4.43,10.119,3,1,54.37,9,5,33,1
"1394","NPC76376","C20H20O8",388.12,-1.563,2.78,1.957,2,1,92.68,12,3,28,0
"1395","NPC142415","C30H48O3",456.36,2.1298,4.43,9.052,3,2,57.53,10,5,33,1
"1396","NPC235053","C30H46O4",470.34,1.6045,4.32,5.985,4,3,77.76,12,5,34,1
"1397","NPC49074","C17H24O9",372.14,-2.2917,2.34,-0.417,6,5,138.07,14,2,26,0
"1398","NPC88255","C17H16O5",300.1,-1.276,2.78,1.776,5,1,72.83,2,4,22,0
"1399","NPC303644","C16H12O5",284.07,-1.6391,2.67,2.031,1,2,75.99,5,3,21,0
"1400","NPC247553","C9H6O3",162.03,-0.1903,2.12,1.532,1,1,46.53,1,2,12,0
"1401","NPC43300","C30H48O",424.37,3.801,4.65,11.294,1,0,17.07,8,5,31,1
"1402","NPC296734","C27H44O4",432.32,-0.4255,3.99,5.432,4,2,58.92,6,6,31,1
"1403","NPC299144","C15H22O9",346.13,-2.7595,2.12,-1.183,6,5,138.07,13,2,24,0
"1404","NPC148391","C16H15NO5",301.1,-1.1725,2.56,0.732,2,2,79.23,7,3,22,0
"1405","NPC171204","C17H22O4",290.15,2.1415,2.89,2.596,4,0,52.6,5,2,21,0
"1406","NPC90083","C20H20O4",324.14,0.4817,3.22,4.809,0,0,36.92,6,4,24,0
"1407","NPC171409","C19H14NO4",320.09,-1.7821,3,2.823,0,0,40.8,0,6,24,0
"1408","NPC183670","C15H24",204.19,3.3391,3.11,6.354,0,0,0,8,1,15,1
"1409","NPC49342","C15H18O4",262.12,1.2108,2.67,0.898,4,0,55.9,2,3,19,0
"1410","NPC304455","C11H19N3O2",225.15,1.1746,2.12,2.296,5,4,85.21,8,1,16,0
"1411","NPC184049","C15H24O",220.18,1.7158,3,4.157,1,1,20.23,4,3,16,0
"1412","NPC202474","C12H14O4",222.09,0.1106,2.34,1.975,2,1,55.76,8,1,16,0
"1413","NPC200422","C31H54O4",490.4,-7.2848,4.43,14.57,2,2,66.76,28,1,35,2
"1414","NPC78540","C15H10O4",254.06,-1.4242,2.67,3.163,1,2,66.76,3,3,19,0
"1415","NPC23614","C21H18NO4.H2O",348.12,-1.7479,3.22,3.37,0,0,40.8,5,5,26,0
"1416","NPC150879","C23H25NO4",379.18,-1.2561,3.44,2.42,2,1,51.16,7,5,28,0
"1417","NPC251865","C20H28O4",332.2,-0.0835,3.22,3.241,3,1,59.67,7,4,24,0
"1418","NPC137669","C15H16O4",260.1,1.6319,2.67,2.808,1,0,44.76,7,2,19,0
"1419","NPC477196","C52H78O19",1006.51,0.1357,5.09,4.903,19,8,294.73,33,7,71,3
"1420","NPC42372","C9H7NO",145.05,-0.6128,2.23,2.53,2,1,32.86,1,2,11,0
"1421","NPC166788","C10H12O2",164.08,1.0183,2.34,1.102,2,0,34.14,4,1,12,0
"1422","NPC281131","C21H20O12",464.1,-4.8921,2.45,-0.354,7,8,206.6,12,4,33,1
"1423","NPC111845","C20H28O3",316.2,0.3156,3.33,5.549,1,2,57.53,8,3,23,1
"1424","NPC262286","C24H26O6",410.17,1.259,3.44,3.462,1,3,96.22,13,3,30,0
"1425","NPC42372","C9H7NO",145.05,-0.6128,2.23,2.53,2,1,32.86,1,2,11,0
"1426","NPC54909","C32H50O6",530.36,1.2011,4.32,6.277,6,3,104.06,14,5,38,1
"1427","NPC210003","C21H20O10",432.11,-3.6314,2.67,0.459,6,6,166.14,10,4,31,1
"1428","NPC309330","C4H12N2",88.1,-2.0526,1.68,-0.626,2,2,52.04,5,0,6,0
"1429","NPC299406","C11H14O3",194.09,-0.6688,2.34,1.241,1,1,46.53,7,1,14,0
"1430","NPC210460","C17H16O5",300.1,1.4778,2.78,2.447,1,0,57.9,7,3,22,0
"1431","NPC18211","C23H26O7",414.17,-0.1469,3.22,2.177,2,0,72.45,10,4,30,0
"1432","NPC152166","C19H18O8",374.1,-1.9715,2.67,1.438,2,2,103.68,11,3,27,0
"1433","NPC469636","C24H32O4",384.23,2.5619,3.66,6.842,4,0,52.6,10,2,28,1
"1434","NPC256720","C20H32O3",320.24,1.9696,3.33,2.553,3,2,49.69,7,2,23,0
"1435","NPC272064","C31H20O10",552.11,-3.0543,3.77,3.708,2,4,151.98,10,6,41,0
"1436","NPC304443","C12H8O4",216.04,0.0641,2.34,1.69,1,0,48.67,2,3,16,0
"1437","NPC147390","C19H23NO4",329.16,-0.6295,3,2.031,1,2,62.16,9,3,24,0
"1438","NPC192638","C30H50O",426.39,3.2313,4.65,11.901,1,1,20.23,9,5,31,1
"1439","NPC93241","C18H12O3",276.08,0.6023,3.11,4.57,2,0,47.28,2,4,21,0
"1440","NPC23614","C21H18NO4.H2O",348.12,-1.7479,3.22,3.37,0,0,40.8,5,5,26,0
"1441","NPC65940","C8H5NO2",147.03,1.2409,2.01,1.272,3,3,64.31,2,0,11,0
"1442","NPC244699","C22H14O6",374.08,-0.3608,3.22,0.68,4,2,108.74,5,4,28,0
"1443","NPC176775","C19H18O7",358.11,-1.1711,2.78,1.717,1,1,83.45,10,3,26,0
"1444","NPC284104","C56H94O28",1214.59,-8.6495,4.54,-0.725,28,17,445.44,39,10,84,3
"1445","NPC85233","C21H22O8",402.13,-0.8144,2.89,1.792,1,0,81.68,13,3,29,0
"1446","NPC107540","C10H16O",152.12,0.4255,2.45,2.296,1,1,20.23,4,1,11,0
"1447","NPC475229","C32H34O8",546.23,0.2977,4.1,7.333,2,0,81.68,14,5,40,1
"1448","NPC311579","C21H20O6",368.13,-0.69,3.11,2.263,2,2,85.22,7,4,27,0
"1449","NPC94602","C37H51NO9",653.36,1.1651,4.43,5.153,10,1,128.67,22,4,47,2
"1450","NPC84585","C15H12O3",240.08,-0.8938,2.78,3.456,1,1,46.53,2,3,18,0
"1451","NPC23963","C18H25NO6",351.17,-0.7988,2.67,0.256,7,1,88.6,4,4,25,0
"1452","NPC23298","C23H22O6",394.14,0.9864,3.33,2.521,1,3,96.22,9,4,29,0
"1453","NPC472282","C32H42O10",586.28,-0.2712,3.88,2.378,9,1,141.87,16,6,42,0
"1454","NPC152097","C16H22O2",246.16,2.189,3,4.162,0,2,40.46,10,1,18,0
"1455","NPC284556","C16H14O5",286.08,-1.3354,2.67,2.538,1,3,86.99,8,2,21,0
"1456","NPC214239","C16H21NO3",275.15,-0.6499,2.78,2.788,3,0,38.77,6,3,20,0
"1457","NPC307063","C30H50O",426.39,3.2175,4.65,12.613,1,0,17.07,8,5,31,1
"1458","NPC118128","C30H38O7",510.26,1.2814,3.99,2.969,4,1,91.29,15,3,37,0
"1459","NPC68828","C30H48O2",440.37,2.9226,4.54,11.914,2,1,37.3,9,5,32,1
"1460","NPC79027","C20H30O3",318.22,1.3357,3.33,6.123,3,1,46.53,6,3,23,1
"1461","NPC202391","C26H32O12",536.19,-2.7807,3,1.723,11,5,181.44,16,4,38,1
"1462","NPC86412","C6H14O6",182.08,-2.9402,1.46,-3.896,6,6,121.38,11,0,12,1
"1463","NPC99957","C23H30O14",530.16,-4.0303,2.45,-1.969,10,7,214.06,16,4,37,1
"1464","NPC202394","C19H28O4",320.2,1.3943,3.11,2.163,4,1,63.6,4,1,23,0
"1465","NPC128730","C14H14O3",230.09,1.2325,2.67,5.295,2,0,35.53,7,1,17,1
"1466","NPC20443","C30H50O4",474.37,-5.3632,4.32,12.006,2,1,55.76,26,1,34,2
"1467","NPC49315","C35H42Cl2N2O7",672.24,2.9178,4.1,9.013,8,2,127.01,17,3,46,1
"1468","NPC28337","C13H12O3",216.08,0.2856,2.56,2.112,1,1,50.44,5,2,16,0
"1469","NPC245975","C20H14O8",382.07,-1.4134,2.78,0.438,4,2,119.36,7,4,28,0
"1470","NPC149680","C20H32O",288.25,2.1847,3.55,6.714,1,1,20.23,8,2,21,1
"1471","NPC308689","C18H20O4",300.14,-0.7889,3,2.806,2,4,80.92,10,2,22,0
"1472","NPC11422","C16H12O5",284.07,-1.4161,2.67,1.797,0,1,57.15,1,5,21,0
"1473","NPC477410","C17H18O7",334.11,-1.0208,2.56,-0.292,4,3,113.29,11,2,24,0
"1474","NPC240915","C11H8O5",220.04,-0.0845,2.12,1.09,1,0,53.99,2,3,16,0
"1475","NPC192638","C30H50O",426.39,3.2313,4.65,11.901,1,1,20.23,9,5,31,1
"1476","NPC91492","C16H12O4",268.07,-0.4377,2.78,4.318,1,1,55.76,4,3,20,0
"1477","NPC11895","C28H38O6",470.27,0.966,3.88,2.244,6,2,96.36,9,6,34,0
"1478","NPC78540","C15H10O4",254.06,-1.4242,2.67,3.163,1,2,66.76,3,3,19,0
"1479","NPC85154","C57H92O25",1176.59,-5.3032,4.98,2.007,25,14,392.59,34,10,82,3
"1480","NPC142415","C30H48O3",456.36,2.1298,4.43,9.052,3,2,57.53,10,5,33,1
"1481","NPC200243","C32H54O",454.42,2.3525,4.87,13.039,1,1,20.23,14,5,33,1
"1482","NPC292792","C11H14O2",178.1,0.9251,2.45,3.003,0,0,18.46,6,1,13,0
"1483","NPC289670","C35H58O4",542.43,3.4787,4.87,11.727,4,2,66.76,19,5,39,1
"1484","NPC195538","C37H38N2O6",606.27,-0.1485,4.65,5.701,2,0,70.98,9,6,45,1
"1485","NPC192638","C30H50O",426.39,3.2313,4.65,11.901,1,1,20.23,9,5,31,1
"1486","NPC12053","C20H23NO4",342.17,-1.9843,3.11,1.008,0,2,58.92,8,4,25,0
"1487","NPC264317","C30H48O3",456.36,2.3495,4.43,9.407,3,2,57.53,10,5,33,1
"1488","NPC124269","C23H26O4",366.18,1.4615,3.55,6.555,1,2,66.76,13,2,27,1
"1489","NPC207114","C19H22O5",330.15,1.8392,3,0.815,5,1,72.83,5,3,24,0
"1490","NPC251884","C11H19NO6",261.12,-3.2063,1.9,-2.653,7,5,119.25,11,1,18,0
"1491","NPC23614","C21H18NO4.H2O",348.12,-1.7479,3.22,3.37,0,0,40.8,5,5,26,0
"1492","NPC307063","C30H50O",426.39,3.2175,4.65,12.613,1,0,17.07,8,5,31,1
"1493","NPC78540","C15H10O4",254.06,-1.4242,2.67,3.163,1,2,66.76,3,3,19,0
"1494","NPC192638","C30H50O",426.39,3.2313,4.65,11.901,1,1,20.23,9,5,31,1
"1495","NPC284918","C18H18O8S",394.07,-0.0401,2.45,0.474,6,2,144.66,11,3,27,0
"1496","NPC329698","C22H40O2",336.3,2.5625,3.66,9.325,2,0,26.3,16,1,24,1
"1497","NPC4665","C8H8O4",168.04,-1.1256,1.9,0.528,2,3,77.76,5,1,12,0
"1498","NPC33168","C20H22N2O2",322.17,-0.8033,3.22,7.492,4,2,65.18,10,2,24,1
"1499","NPC38065","C15H10O6",286.05,-2.5079,2.45,0.978,1,4,107.22,5,3,21,0
"1500","NPC294156","C17H16O4",284.1,-0.7567,2.89,2.833,0,0,36.92,4,4,21,0
"1501","NPC61350","C13H11NO2",213.08,0.2856,2.56,2.58,1,1,42.35,3,3,16,0
"1502","NPC255350","C18H16O7",344.09,-1.5796,2.67,1.198,1,2,94.45,9,3,25,0
"1503","NPC195202","C18H16O6",328.09,-1.1193,2.78,2.161,1,1,74.22,8,3,24,0
"1504","NPC210460","C17H16O5",300.1,1.4778,2.78,2.447,1,0,57.9,7,3,22,0
"1505","NPC235076","C20H15NO4",333.1,-0.4063,3.11,3.243,1,0,49.81,4,5,25,0
"1506","NPC474490","C22H32O5",376.22,2.0915,3.33,2.393,5,0,69.67,13,2,27,0
"1507","NPC142415","C30H48O3",456.36,2.1298,4.43,9.052,3,2,57.53,10,5,33,1
"1508","NPC5796","C14H14O3",230.09,-0.5639,2.67,4.175,0,1,38.69,6,2,17,0
"1509","NPC310399","C27H26O8",478.16,-2.3657,3.55,5.075,4,3,114.68,12,5,35,1
"1510","NPC14958","C19H18O6",342.11,-0.7108,2.89,2.68,1,0,63.22,9,3,25,0
"1511","NPC62749","C14H12N2O2",240.09,-0.3698,2.56,2.443,4,2,65.98,4,3,18,0
"1512","NPC7715","C36H38N2O6",594.27,-0.543,4.54,5.06,2,2,83.86,8,6,44,1
"1513","NPC168248","C20H24O4",328.17,1.2468,3.22,3.742,4,0,60.44,6,3,24,0
"1514","NPC115165","C50H82O23",1050.52,-6.3588,4.43,0.16,23,13,355.29,28,10,73,3
"1515","NPC57405","C15H20O4",264.14,1.1847,2.67,0.841,4,1,59.06,3,3,19,0
"1516","NPC142563","C22H26O5",370.18,0.2774,3.33,3.505,2,1,64.99,8,4,27,0
"1517","NPC292374","C20H30O4",334.21,-1.2049,3.22,1.861,4,3,77.76,6,4,24,0
"1518","NPC255350","C18H16O7",344.09,-1.5796,2.67,1.198,1,2,94.45,9,3,25,0
"1519","NPC87394","C19H34O2",294.26,-2.6641,3.33,7.386,2,1,37.3,17,1,21,2
"1520","NPC165528","C15H16O5",276.1,0.2552,2.56,0.343,5,1,72.83,2,3,20,0
"1521","NPC101307","C20H36O2",308.27,1.9765,3.44,5.989,2,2,40.46,11,2,22,1
"1522","NPC142415","C30H48O3",456.36,2.1298,4.43,9.052,3,2,57.53,10,5,33,1
"1523","NPC26974","C29H60",408.47,-7.6734,4.65,16.841,0,0,0,28,0,29,2
"1524","NPC55532","C36H56O11",664.38,-1.8951,4.21,2.708,11,4,153.37,15,7,47,1
"1525","NPC202666","C42H62O16",822.4,-1.6063,4.32,4.414,16,8,267.04,22,7,58,2
"1526","NPC281131","C21H20O12",464.1,-4.8921,2.45,-0.354,7,8,206.6,12,4,33,1
"1527","NPC169402","C16H15NO4",285.1,-0.5128,2.67,2.88,3,1,60.55,7,3,21,0
"1528","NPC197107","C15H22O6",298.14,-1.7841,2.45,-1.429,6,4,102.68,7,4,21,0
"1529","NPC255801","C32H42O8",554.29,1.3981,4.1,5.244,2,5,144.52,25,2,40,2
"1530","NPC132054","C18H18O5",314.12,0.1957,2.89,2.953,3,0,65.74,8,3,23,0
"1531","NPC34902","C22H26O6",386.17,-1.2052,3.22,2.722,2,0,55.38,10,4,28,0
"1532","NPC214869","C19H21NO5",343.14,-0.7017,2.89,2.665,2,3,91.51,12,2,25,0
"1533","NPC49964","C30H50O3",458.38,1.8933,4.43,7.471,3,3,60.69,15,4,33,1
"1534","NPC174758","C15H10N2O2",250.07,-0.3255,2.67,2.154,3,0,44.12,2,4,19,0
"1535","NPC141440","C18H19NO5",329.13,-0.6597,2.78,1.056,4,0,57.23,3,5,24,0
"1536","NPC197107","C15H22O6",298.14,-1.7841,2.45,-1.429,6,4,102.68,7,4,21,0
"1537","NPC202672","C20H30O4",334.21,2.2235,3.22,3.26,4,2,66.76,5,2,24,0
"1538","NPC264317","C30H48O3",456.36,2.3495,4.43,9.407,3,2,57.53,10,5,33,1
"1539","NPC245584","C16H12O5",284.07,-0.858,2.67,1.183,2,2,83.83,5,3,21,0
"1540","NPC280616","C13H14O4",234.09,-0.5462,2.45,2.067,4,2,66.76,5,2,17,0
"1541","NPC277618","C34H38O6",542.27,-0.3037,4.54,9.751,5,1,85.97,11,6,40,1
"1542","NPC210460","C17H16O5",300.1,1.4778,2.78,2.447,1,0,57.9,7,3,22,0
"1543","NPC275690","C34H38O16",702.22,-3.1122,3.44,0.224,11,4,199.52,18,7,50,1
"1544","NPC264317","C30H48O3",456.36,2.3495,4.43,9.407,3,2,57.53,10,5,33,1
"1545","NPC178383","C30H50O2",442.38,2.1406,4.54,9.714,2,2,40.46,10,5,32,1
"1546","NPC470309","C31H46O4",482.34,0.9706,4.43,6.043,4,2,66.76,12,6,35,1
"1547","NPC253611","C53H88O21",1060.58,-4.3346,4.98,3.245,21,12,325.83,30,10,74,2
"1548","NPC49833","C21H28O8",408.18,-0.6645,2.89,-0.054,8,4,125.68,7,4,29,0
"1549","NPC282339","C21H26N2O2",338.2,-0.9232,3.33,3.643,4,1,41.57,3,4,25,0
"1550","NPC155410","C57H90O24",1158.58,-4.3371,5.09,3.571,24,11,366.04,36,9,81,3
"1551","NPC290972","C30H48O4",472.36,1.3635,4.32,7.178,4,3,77.76,11,5,34,1
"1552","NPC264317","C30H48O3",456.36,2.3495,4.43,9.407,3,2,57.53,10,5,33,1
"1553","NPC214770","C30H48O",424.37,3.8673,4.65,11.314,1,0,17.07,11,5,31,1
"1554","NPC189960","C18H16O6",328.09,-1.4594,2.78,3.478,2,1,74.22,8,3,24,0
"1555","NPC78540","C15H10O4",254.06,-1.4242,2.67,3.163,1,2,66.76,3,3,19,0
"1556","NPC12774","C31H50O3",470.38,2.6005,4.54,9.728,3,1,46.53,11,5,34,1
"1557","NPC241911","C16H22O10",374.12,-3.1722,2.12,-2.175,10,6,166.14,11,3,26,1
"1558","NPC81419","C22H30O6",390.2,1.3394,3.22,1.84,6,1,82.06,6,3,28,0
"1559","NPC91492","C16H12O4",268.07,-0.4377,2.78,4.318,1,1,55.76,4,3,20,0
"1560","NPC304443","C12H8O4",216.04,0.0641,2.34,1.69,1,0,48.67,2,3,16,0
"1561","NPC281131","C21H20O12",464.1,-4.8921,2.45,-0.354,7,8,206.6,12,4,33,1
"1562","NPC9812","C22H28O6",388.19,2.0351,3.22,2.51,6,1,89.9,10,3,28,0
"1563","NPC292419","C30H52O",428.4,2.4864,4.65,13.026,1,1,20.23,9,5,31,1
"1564","NPC248573","C14H12O3",228.08,-0.9131,2.67,3.436,0,3,60.69,5,2,17,0
"1565","NPC209393","C22H22O9",430.13,-2.3589,2.89,1.314,7,5,153.75,10,4,31,0
"1566","NPC157931","C19H15N3O2",317.12,-0.8051,3,3.296,4,1,57.69,2,5,24,0
"1567","NPC196227","C15H24O4",268.17,0.0056,2.67,0.105,4,3,77.76,8,2,19,0
"1568","NPC295712","C30H22O7",494.14,-1.5481,3.99,4.298,2,5,135.29,8,6,37,0
"1569","NPC86412","C6H14O6",182.08,-2.9402,1.46,-3.896,6,6,121.38,11,0,12,1
"1570","NPC6633","C18H14O5",310.08,-0.4307,2.89,2.014,1,2,75.99,4,4,23,0
"1571","NPC477282","C30H52O5",492.38,0.2516,4.21,5.602,5,4,90.15,14,5,35,1
"1572","NPC475659","C20H28O6",364.19,1.7225,3,1.579,6,1,85.36,9,3,26,0
"1573","NPC258501","C15H22O10",362.12,-4.3433,2.01,-2.707,10,6,161.6,10,4,25,1
"1574","NPC116850","C14H16O9",328.08,-2.8389,2.01,-2.021,6,5,145.91,8,3,23,0
"1575","NPC233012","C32H50O6",530.36,1.2011,4.32,6.277,6,3,104.06,14,5,38,1
"1576","NPC329932","C44H50N4O7",746.37,-2.6897,5.09,3.368,10,3,124.04,7,13,55,0
"1577","NPC103290","C15H26",206.2,2.1274,3.11,7.043,0,0,0,4,2,15,1
"1578","NPC15440","C19H24ClNO6",397.13,-1.3627,2.67,-0.174,7,1,85.3,9,4,27,0
"1579","NPC264317","C30H48O3",456.36,2.3495,4.43,9.407,3,2,57.53,10,5,33,1
"1580","NPC197107","C15H22O6",298.14,-1.7841,2.45,-1.429,6,4,102.68,7,4,21,0
"1581","NPC155847","C10H15NO",165.12,0.0247,2.34,1.733,1,1,23.47,6,1,12,0
"1582","NPC88297","C24H32O7",432.21,-0.2989,3.33,3.08,1,0,64.61,16,3,31,0
"1583","NPC118919","C25H30O4",394.21,2.074,3.77,8.75,2,3,77.76,15,2,29,1
"1584","NPC165578","C28H40O12",568.25,-1.4803,3.22,-0.206,12,3,175.12,20,4,40,1
"1585","NPC100242","C22H30O4",358.21,-0.3198,3.44,3.978,3,1,55.76,8,4,26,0
"1586","NPC210434","C18H13NO3",291.09,-0.3674,3,3.348,2,0,48.42,4,4,22,0
"1587","NPC247553","C9H6O3",162.03,-0.1903,2.12,1.532,1,1,46.53,1,2,12,0
"1588","NPC258501","C15H22O10",362.12,-4.3433,2.01,-2.707,10,6,161.6,10,4,25,1
"1589","NPC200555","C20H19NO4.HI",337.13,-0.1035,3.11,1.92,3,0,48,6,4,25,0
"1590","NPC270768","C30H48O4",472.36,1.0391,4.32,8.349,4,3,77.76,11,5,34,1
"1591","NPC142361","C30H48O3",456.36,3.3519,4.43,8.866,3,2,57.53,14,4,33,1
"1592","NPC218614","C18H21NO5",331.14,-1.101,2.78,0.419,4,1,60.39,4,5,24,0
"1593","NPC474641","C23H26O9",446.16,-2.0401,3,2.569,9,4,142.75,13,3,32,0
